epoch	loss	acc	val_loss	val_acc
0	1.836430	0.303780	1.593932	0.415200
1	1.464894	0.463740	1.235927	0.562600
2	1.248618	0.551700	1.082221	0.611500
3	1.131824	0.595000	1.017830	0.635300
4	1.065042	0.619520	0.914794	0.676700
5	1.006067	0.643920	0.853721	0.696700
6	0.963918	0.658860	0.890526	0.685600
7	0.928614	0.669980	0.835147	0.707600
8	0.901617	0.683000	0.780105	0.727500
9	0.876309	0.689860	0.853489	0.702200
10	0.861321	0.698740	0.750373	0.742900
11	0.833688	0.709820	0.711303	0.753500
12	0.812352	0.714080	0.740848	0.740600
13	0.797370	0.720060	0.713769	0.749700
14	0.784891	0.723360	0.705211	0.751100
15	0.776913	0.728080	0.676071	0.764600
16	0.762122	0.731700	0.728381	0.747800
17	0.755855	0.735020	0.687558	0.757900
18	0.749425	0.736680	0.650490	0.777500
19	0.732919	0.743140	0.681007	0.764900
20	0.731373	0.742500	0.652207	0.774000
21	0.718162	0.749620	0.661759	0.770100
22	0.712954	0.752940	0.633427	0.779300
23	0.700551	0.753500	0.713765	0.753900
24	0.698616	0.755960	0.639258	0.779700
25	0.693853	0.757320	0.635831	0.781000
26	0.693941	0.758380	0.634423	0.783600
27	0.689727	0.760900	0.616999	0.785500
28	0.680139	0.762560	0.644776	0.773000
29	0.677013	0.761620	0.635214	0.778500
30	0.673231	0.761120	0.630949	0.777500
31	0.664100	0.766700	0.608768	0.794100
32	0.659096	0.768380	0.612045	0.789600
33	0.660268	0.769020	0.622950	0.783200
34	0.659888	0.769480	0.593944	0.796800
35	0.651197	0.774020	0.607982	0.791300
36	0.644586	0.773860	0.605283	0.789000
37	0.642857	0.774040	0.577608	0.803100
38	0.644415	0.776400	0.598071	0.793900
39	0.640849	0.775000	0.589574	0.797400
40	0.630637	0.779100	0.592675	0.796300
41	0.630507	0.778920	0.599297	0.795800
42	0.630586	0.777620	0.573686	0.804000
43	0.632516	0.778800	0.629442	0.784700
44	0.617010	0.782300	0.579935	0.805700
45	0.618447	0.781580	0.584805	0.799200
46	0.629212	0.779780	0.565165	0.803500
47	0.619470	0.780580	0.569339	0.806600
48	0.614959	0.784800	0.578266	0.805000
49	0.611266	0.783880	0.563531	0.804700
