epoch	loss	acc	val_loss	val_acc
0	1.850498	0.316220	1.510263	0.449500
1	1.453071	0.473300	1.263890	0.549500
2	1.314158	0.527780	1.162718	0.595700
3	1.202515	0.570800	1.073125	0.615500
4	1.108932	0.604100	1.020323	0.644500
5	1.044568	0.630940	0.933528	0.669700
6	0.996886	0.646900	0.910052	0.683700
7	0.962168	0.657880	0.876838	0.692500
8	0.917222	0.675180	0.834348	0.710500
9	0.882558	0.687580	0.811228	0.716200
10	0.860220	0.695920	0.792275	0.720600
11	0.837062	0.702240	0.791661	0.730500
12	0.799675	0.716080	0.727839	0.748600
13	0.786230	0.722380	0.732213	0.750400
14	0.771965	0.725020	0.725075	0.748200
15	0.753018	0.732920	0.708185	0.749800
16	0.740531	0.736400	0.716282	0.753400
17	0.722651	0.744220	0.717871	0.751200
18	0.706594	0.749420	0.694695	0.761000
19	0.698462	0.752360	0.681069	0.760900
20	0.688493	0.756660	0.678008	0.762000
21	0.683137	0.757620	0.685362	0.763600
22	0.667375	0.765860	0.684746	0.760400
23	0.655095	0.767140	0.677560	0.768500
24	0.651374	0.767680	0.664084	0.772000
25	0.639856	0.773760	0.653897	0.776200
26	0.628976	0.776360	0.651530	0.780400
27	0.624991	0.778300	0.646898	0.778400
28	0.613377	0.781220	0.657085	0.774000
29	0.612976	0.782400	0.654527	0.774600
30	0.599321	0.785960	0.661175	0.775400
31	0.592498	0.788300	0.649165	0.779200
32	0.593590	0.787720	0.658440	0.772900
33	0.584673	0.788700	0.642186	0.778900
34	0.582615	0.789500	0.647649	0.780800
35	0.579062	0.791420	0.632524	0.785400
36	0.574775	0.795620	0.635698	0.787800
37	0.565389	0.798880	0.654370	0.773000
38	0.560862	0.798000	0.632693	0.783400
39	0.554816	0.799420	0.640734	0.783000
40	0.548366	0.804960	0.629311	0.790400
41	0.551588	0.803100	0.636703	0.781500
42	0.542537	0.804220	0.630873	0.787400
43	0.544680	0.805960	0.622224	0.794200
44	0.536946	0.806700	0.621626	0.789000
45	0.529406	0.810240	0.626386	0.788200
46	0.532654	0.806780	0.636644	0.783600
47	0.528756	0.811300	0.615936	0.792800
48	0.515470	0.815740	0.632434	0.791100
49	0.512962	0.817240	0.622652	0.792500
