epoch	loss	acc	val_loss	val_acc
0	0.719279	0.503500	0.692865	0.508750
1	0.695367	0.486500	0.690089	0.587500
2	0.686525	0.560000	0.667224	0.540000
3	0.664628	0.592500	0.660228	0.586250
4	0.640415	0.618500	0.660522	0.577500
5	0.635272	0.655500	0.631624	0.613750
6	0.615455	0.665500	0.621707	0.636250
7	0.612092	0.664500	0.637227	0.596250
8	0.597748	0.666000	0.606971	0.656250
9	0.585476	0.694000	0.620721	0.647500
10	0.578289	0.694000	0.576752	0.678750
11	0.587853	0.685000	0.564590	0.695000
12	0.563157	0.722000	0.638549	0.668750
13	0.553237	0.713000	0.606370	0.680000
14	0.551400	0.715500	0.579503	0.705000
15	0.559090	0.711000	0.552058	0.716250
16	0.527283	0.728500	2.237725	0.557500
17	0.544986	0.733500	0.555449	0.722500
18	0.512201	0.736000	0.625937	0.675000
19	0.515578	0.736500	0.540420	0.732500
20	0.510921	0.751000	0.649729	0.696250
21	0.512186	0.754500	0.532510	0.735000
22	0.509610	0.752500	0.515309	0.743750
23	0.501035	0.767500	0.651126	0.708750
24	0.510469	0.752500	0.725617	0.688750
25	0.473813	0.786500	0.706875	0.697500
26	0.482826	0.767000	0.503436	0.765000
27	0.472298	0.777500	0.573177	0.723750
28	0.459239	0.794000	0.534337	0.750000
29	0.456336	0.800000	0.516686	0.775000
30	0.474463	0.780500	0.509878	0.750000
31	0.453411	0.788000	0.508219	0.756250
32	0.477829	0.780500	0.486665	0.777500
33	0.472603	0.772000	0.607645	0.725000
34	0.437024	0.804000	0.562213	0.755000
35	0.428748	0.797000	0.535648	0.727500
36	0.491164	0.777500	0.606816	0.737500
37	0.420195	0.815500	0.540688	0.766250
38	0.461268	0.806500	0.496782	0.773750
39	0.458206	0.781500	0.539356	0.723750
40	0.454772	0.781500	0.522958	0.757500
41	0.470704	0.774000	0.501671	0.762500
42	0.434853	0.800500	0.576864	0.745000
43	0.434386	0.796500	0.567406	0.771250
44	0.458385	0.780000	0.493817	0.780000
45	0.410626	0.819000	0.584177	0.763750
46	0.422876	0.815000	0.588189	0.715000
47	0.410153	0.820500	0.705821	0.738750
48	0.415178	0.821500	0.561314	0.747500
49	0.424456	0.811000	0.507124	0.767500
