epoch	loss	acc	val_loss	val_acc
0	0.837141	0.726500	0.431514	0.780000
1	0.366841	0.843000	0.346064	0.836250
2	0.271731	0.885000	0.390687	0.830000
3	0.257472	0.887000	0.243664	0.903750
4	0.214609	0.915000	0.270054	0.877500
5	0.197971	0.920000	0.248003	0.905000
6	0.163551	0.935500	0.242700	0.903750
7	0.169597	0.938000	0.285717	0.903750
8	0.122400	0.950500	0.397920	0.867500
9	0.117394	0.953500	0.294838	0.896250
10	0.109407	0.956000	0.289997	0.912500
11	0.105833	0.958500	0.355846	0.871250
12	0.073121	0.969500	0.372252	0.895000
13	0.086479	0.968000	0.322040	0.901250
14	0.047818	0.982500	0.375103	0.903750
15	0.050264	0.979500	0.575951	0.870000
16	0.043876	0.984500	0.531224	0.877500
17	0.049789	0.982500	0.386138	0.908750
18	0.030757	0.986500	0.443579	0.910000
19	0.040630	0.982000	0.479737	0.907500
20	0.031084	0.989500	0.484577	0.900000
21	0.031107	0.988500	0.495685	0.915000
22	0.037218	0.988000	0.509274	0.903750
23	0.027335	0.986000	0.567516	0.895000
24	0.025190	0.994000	0.586282	0.903750
25	0.026980	0.992000	0.881271	0.861250
26	0.020005	0.991500	0.615244	0.896250
27	0.021317	0.994000	0.644477	0.890000
28	0.025620	0.990500	0.642619	0.897500
29	0.021602	0.989500	0.585084	0.905000
30	0.025103	0.992000	0.668972	0.896250
31	0.011565	0.996500	0.617474	0.910000
32	0.020431	0.992000	0.708560	0.895000
33	0.009435	0.997000	1.098648	0.861250
34	0.019916	0.993000	0.677939	0.906250
35	0.009162	0.997000	0.765930	0.896250
36	0.020767	0.993000	0.737975	0.903750
37	0.008821	0.996500	0.745376	0.905000
38	0.013175	0.995000	0.689977	0.910000
39	0.010719	0.995500	0.740738	0.911250
40	0.012657	0.995000	0.721999	0.908750
41	0.008053	0.996500	0.769188	0.903750
42	0.007443	0.998000	0.840597	0.905000
43	0.015971	0.996500	0.838130	0.895000
44	0.005704	0.997000	0.699695	0.912500
45	0.007898	0.996000	0.755908	0.908750
46	0.005352	0.998500	0.920102	0.882500
47	0.006517	0.998000	0.783546	0.905000
48	0.007955	0.996000	0.847971	0.898750
49	0.006606	0.997500	0.803645	0.893750
