epoch	loss	acc	val_loss	val_acc
0	2.272581	0.340336	4.212029	0.076471
1	1.085808	0.673109	5.234306	0.064706
2	0.740179	0.769748	5.790343	0.064706
3	0.537209	0.842857	6.670745	0.070588
4	0.411590	0.875630	6.980312	0.070588
5	0.319425	0.910924	7.842231	0.070588
6	0.269499	0.924370	8.071837	0.070588
7	0.188127	0.951261	8.218562	0.064706
8	0.173910	0.953782	9.045349	0.064706
9	0.150587	0.957143	8.849402	0.064706
10	0.162938	0.960504	9.223258	0.058824
11	0.119170	0.970588	9.330198	0.064706
12	0.097199	0.980672	9.402771	0.070588
13	0.077132	0.982353	9.289903	0.070588
14	0.086652	0.978992	10.126750	0.070588
15	0.062270	0.985714	10.849427	0.058824
16	0.048294	0.990756	10.768889	0.058824
17	0.055131	0.986555	10.301822	0.070588
18	0.059726	0.988235	10.642327	0.064706
19	0.057622	0.984874	10.741277	0.064706
20	0.051545	0.989916	10.555173	0.070588
21	0.045893	0.990756	10.924591	0.058824
22	0.036538	0.993277	10.849774	0.070588
23	0.067981	0.986555	10.861630	0.064706
24	0.064709	0.979832	10.585583	0.070588
25	0.062536	0.985714	11.033267	0.064706
26	0.092965	0.967227	10.964340	0.064706
27	0.055946	0.984874	11.249420	0.064706
28	0.037034	0.991597	11.524216	0.064706
29	0.031600	0.992437	10.831436	0.076471
30	0.032953	0.995798	11.636709	0.070588
31	0.025316	0.994118	11.846890	0.070588
32	0.031064	0.991597	11.445579	0.070588
33	0.031767	0.991597	11.967573	0.070588
34	0.036138	0.991597	11.576204	0.064706
35	0.039559	0.988235	10.639202	0.070588
36	0.027836	0.994958	11.515297	0.070588
37	0.021680	0.995798	12.040077	0.064706
38	0.024110	0.993277	12.056254	0.064706
39	0.022525	0.994118	12.431330	0.058824
40	0.014792	0.998319	12.307845	0.064706
41	0.015408	0.998319	11.939852	0.070588
42	0.015032	0.996639	12.339096	0.076471
43	0.012758	0.996639	12.378329	0.070588
44	0.026830	0.994118	11.823727	0.070588
45	0.068452	0.981513	11.927526	0.058824
46	0.051132	0.984034	12.237418	0.058824
47	0.044280	0.985714	11.836605	0.076471
48	0.026191	0.991597	12.468018	0.064706
49	0.022834	0.993277	12.407473	0.064706
