epoch	loss	acc	val_loss	val_acc
0	3.052337	0.064706	2.647723	0.235294
1	2.595889	0.189916	2.358577	0.417647
2	2.396782	0.264706	2.166210	0.452941
3	2.113203	0.348739	1.924869	0.535294
4	1.936585	0.400000	1.674520	0.611765
5	1.714796	0.468067	1.516796	0.635294
6	1.545029	0.532773	1.373847	0.641176
7	1.417926	0.562185	1.177502	0.717647
8	1.294644	0.602521	1.084709	0.741176
9	1.138908	0.664706	0.986830	0.717647
10	1.066188	0.678992	0.910288	0.735294
11	0.959376	0.700840	0.933692	0.741176
12	0.900086	0.737815	0.802702	0.776471
13	0.815104	0.753782	0.708210	0.800000
14	0.808359	0.756303	0.726210	0.788235
15	0.719635	0.787395	0.641333	0.811765
16	0.683510	0.793277	0.645059	0.800000
17	0.628526	0.798319	0.617167	0.823529
18	0.601513	0.820168	0.541339	0.823529
19	0.563079	0.828571	0.551623	0.811765
20	0.518586	0.830252	0.541317	0.829412
21	0.521792	0.831933	0.525405	0.829412
22	0.478578	0.862185	0.490287	0.841176
23	0.435402	0.868908	0.500462	0.864706
24	0.451893	0.855462	0.512438	0.829412
25	0.394436	0.873950	0.464376	0.847059
26	0.384433	0.894958	0.450355	0.829412
27	0.378610	0.878151	0.453111	0.835294
28	0.337229	0.895798	0.473581	0.835294
29	0.331564	0.903361	0.470647	0.852941
30	0.306672	0.898319	0.473943	0.852941
31	0.290556	0.916807	0.441351	0.858824
32	0.310840	0.909244	0.423387	0.858824
33	0.267108	0.921849	0.412674	0.858824
34	0.290519	0.908403	0.381925	0.894118
35	0.282545	0.918487	0.376848	0.876471
36	0.242316	0.930252	0.438335	0.847059
37	0.264156	0.910924	0.406675	0.864706
38	0.239075	0.931092	0.483567	0.841176
39	0.244297	0.930252	0.380153	0.864706
40	0.226053	0.926891	0.402220	0.882353
41	0.223106	0.928571	0.380439	0.870588
42	0.214981	0.941176	0.395615	0.835294
43	0.204070	0.941176	0.430025	0.847059
44	0.195329	0.941176	0.422217	0.852941
45	0.167267	0.950420	0.375044	0.864706
46	0.181535	0.953782	0.373616	0.864706
47	0.189717	0.946218	0.356041	0.864706
48	0.155145	0.955462	0.388341	0.876471
49	0.159234	0.950420	0.350850	0.864706
