epoch	loss	acc	val_loss	val_acc
0	7.799596	0.075630	2.736852	0.111765
1	2.715135	0.121008	2.639145	0.147059
2	2.672502	0.126050	2.605250	0.135294
3	2.636434	0.144538	2.720314	0.100000
4	2.620954	0.144538	2.598778	0.152941
5	2.633619	0.158824	2.664991	0.170588
6	2.565990	0.167227	2.603898	0.170588
7	2.532105	0.164706	2.537722	0.211765
8	2.465628	0.213445	2.537234	0.217647
9	2.390184	0.227731	2.445597	0.241176
10	2.352276	0.266387	2.288540	0.323529
11	2.266398	0.280672	2.207796	0.305882
12	2.216889	0.305042	2.345270	0.270588
13	2.154504	0.321008	2.094557	0.388235
14	2.131545	0.352101	2.194597	0.352941
15	2.048808	0.363025	1.965545	0.370588
16	1.977085	0.395798	2.100380	0.388235
17	2.005733	0.380672	1.857513	0.405882
18	1.978694	0.390756	2.166514	0.388235
19	1.879812	0.411765	1.966580	0.394118
20	1.800871	0.429412	1.782561	0.452941
21	1.916352	0.403361	2.020662	0.423529
22	1.874563	0.426891	2.082303	0.376471
23	1.749871	0.453782	1.941729	0.411765
24	1.697299	0.453782	1.885577	0.441176
25	1.742076	0.454622	1.989393	0.382353
26	1.680414	0.457983	1.846914	0.441176
27	1.668524	0.486555	2.165333	0.400000
28	1.657829	0.478992	1.858192	0.429412
29	1.635422	0.487395	1.790263	0.429412
30	1.626568	0.473109	1.866771	0.441176
31	1.695085	0.447899	1.817949	0.470588
32	1.555944	0.509244	1.605009	0.482353
33	1.532633	0.519328	1.579341	0.511765
34	1.448442	0.541176	1.486748	0.529412
35	1.321206	0.573950	1.686954	0.505882
36	1.224674	0.598319	1.280517	0.623529
37	1.128079	0.626891	1.160887	0.629412
38	0.980099	0.675630	0.969792	0.700000
39	0.928305	0.692437	1.127778	0.652941
40	0.821076	0.730252	0.972618	0.682353
41	0.772046	0.725210	0.902807	0.711765
42	0.681999	0.773950	0.764624	0.711765
43	0.637164	0.779832	0.815621	0.723529
44	0.593890	0.798319	0.655362	0.794118
45	0.518867	0.820168	0.602647	0.764706
46	0.573130	0.804202	0.756010	0.752941
47	0.476230	0.839496	0.739997	0.758824
48	0.413541	0.859664	0.826336	0.758824
49	0.402393	0.864706	0.481998	0.829412
