epoch	loss	acc	val_loss	val_acc
0	2.814975	0.068908	2.703742	0.141176
1	2.640638	0.133613	2.390612	0.205882
2	2.479097	0.187395	2.186383	0.264706
3	2.331729	0.213445	2.024963	0.294118
4	2.187163	0.259664	1.963741	0.264706
5	2.134354	0.277311	1.907787	0.341176
6	1.995064	0.307563	1.727553	0.452941
7	1.987077	0.326050	1.717480	0.452941
8	1.885980	0.342857	1.554897	0.458824
9	1.828808	0.358824	1.679522	0.429412
10	1.767498	0.384034	1.637511	0.435294
11	1.700598	0.403361	1.458693	0.523529
12	1.711014	0.401681	1.476326	0.494118
13	1.661381	0.426050	1.506693	0.476471
14	1.634929	0.413445	1.437904	0.576471
15	1.642977	0.406723	1.319318	0.564706
16	1.618069	0.405882	1.439743	0.494118
17	1.563710	0.449580	1.467013	0.505882
18	1.569281	0.435294	1.448753	0.541176
19	1.502758	0.481513	1.309127	0.552941
20	1.551172	0.434454	1.438605	0.529412
21	1.475150	0.463025	1.323307	0.594118
22	1.537717	0.444538	1.346364	0.552941
23	1.459317	0.478151	1.360231	0.547059
24	1.449959	0.465546	1.403456	0.535294
25	1.431984	0.492437	1.396812	0.517647
26	1.442825	0.463866	1.297785	0.588235
27	1.480274	0.459664	1.359830	0.570588
28	1.387937	0.484874	1.324890	0.535294
29	1.398702	0.483193	1.259509	0.558824
30	1.397492	0.474790	1.239816	0.600000
31	1.326614	0.504202	1.499888	0.535294
32	1.370801	0.526891	1.184625	0.611765
33	1.305972	0.515966	1.363679	0.558824
34	1.380446	0.502521	1.252873	0.605882
35	1.278550	0.516807	1.282111	0.582353
36	1.321517	0.511765	1.273270	0.594118
37	1.271070	0.530252	1.182483	0.641176
38	1.323130	0.515966	1.155830	0.605882
39	1.219806	0.554622	1.412007	0.505882
40	1.210292	0.572269	1.104386	0.647059
41	1.182792	0.568908	1.309369	0.600000
42	1.190603	0.568908	1.248256	0.611765
43	1.205898	0.557143	1.176247	0.564706
44	1.196092	0.570588	1.149657	0.564706
45	1.200695	0.563025	1.263548	0.605882
46	1.224496	0.547899	0.982367	0.670588
47	1.126305	0.578151	1.095769	0.617647
48	1.128856	0.591597	1.175921	0.641176
49	1.138466	0.568067	1.239151	0.617647
