epoch	loss	acc	val_loss	val_acc
0	0.392936	0.889500	0.314229	0.910000
1	0.205597	0.920000	0.278626	0.922500
2	0.186803	0.938000	0.253912	0.916250
3	0.168423	0.938000	0.267480	0.926250
4	0.127521	0.949000	0.279186	0.921250
5	0.109715	0.960000	0.280048	0.922500
6	0.124314	0.959500	0.266378	0.920000
7	0.112664	0.958500	0.409614	0.900000
8	0.084592	0.965500	0.287283	0.925000
9	0.075750	0.974500	0.307862	0.918750
10	0.069504	0.974000	0.352161	0.917500
11	0.068271	0.975500	0.297790	0.921250
12	0.063322	0.978500	0.349887	0.916250
13	0.049088	0.981500	0.308337	0.922500
14	0.060384	0.975500	0.253370	0.922500
15	0.056146	0.981500	0.338164	0.922500
16	0.050803	0.982000	0.398229	0.921250
17	0.048776	0.985000	0.338334	0.923750
18	0.038751	0.988500	0.430619	0.901250
19	0.037268	0.987500	0.331018	0.926250
20	0.029861	0.988500	0.305138	0.926250
21	0.036867	0.987500	0.369666	0.915000
22	0.034894	0.988000	0.359389	0.922500
23	0.043230	0.984000	0.338578	0.921250
24	0.026154	0.990000	0.399184	0.923750
25	0.041308	0.986500	0.346198	0.923750
26	0.040229	0.986500	0.449066	0.912500
27	0.025553	0.990500	0.413997	0.926250
28	0.026934	0.992500	0.364423	0.925000
29	0.020144	0.993500	0.347122	0.932500
30	0.012585	0.996000	0.450496	0.922500
31	0.027573	0.990000	0.348491	0.928750
32	0.024281	0.992000	0.376495	0.928750
33	0.022217	0.992000	0.367984	0.925000
34	0.011868	0.997000	0.401181	0.930000
35	0.030910	0.988000	0.337077	0.921250
36	0.028126	0.991000	0.473797	0.908750
37	0.025956	0.991000	0.345383	0.922500
38	0.016779	0.995000	0.354210	0.932500
39	0.009589	0.997000	0.391571	0.925000
40	0.008650	0.997000	0.370635	0.927500
41	0.010515	0.996000	0.397238	0.927500
42	0.021608	0.993500	0.379861	0.933750
43	0.009411	0.997500	0.426864	0.922500
44	0.017855	0.994000	0.404933	0.928750
45	0.020195	0.992000	0.412295	0.927500
46	0.013462	0.997500	0.412300	0.931250
47	0.017214	0.995500	0.362996	0.928750
48	0.014241	0.995500	0.409171	0.926250
49	0.012016	0.996500	0.451182	0.927500
