epoch	loss	acc	val_loss	val_acc
0	0.731598	0.536500	0.580002	0.746250
1	0.589275	0.683000	0.518933	0.811250
2	0.527461	0.752500	0.477270	0.823750
3	0.502391	0.770000	0.451565	0.835000
4	0.467905	0.796500	0.427892	0.843750
5	0.449849	0.793500	0.411613	0.842500
6	0.424182	0.813500	0.398104	0.845000
7	0.409675	0.820000	0.388100	0.847500
8	0.407656	0.819500	0.373795	0.856250
9	0.395504	0.829500	0.367882	0.855000
10	0.376309	0.840500	0.356284	0.862500
11	0.363517	0.855000	0.356267	0.857500
12	0.363534	0.856000	0.347204	0.861250
13	0.358397	0.843500	0.337283	0.870000
14	0.347753	0.854500	0.330676	0.871250
15	0.356122	0.848000	0.326054	0.870000
16	0.334440	0.861500	0.320126	0.873750
17	0.342023	0.858000	0.316678	0.881250
18	0.328225	0.869000	0.314386	0.880000
19	0.320464	0.866000	0.309796	0.880000
20	0.313200	0.874000	0.316862	0.873750
21	0.320064	0.872500	0.307461	0.880000
22	0.310332	0.875000	0.300435	0.882500
23	0.293595	0.886500	0.298083	0.880000
24	0.300227	0.884000	0.311777	0.866250
25	0.291520	0.888000	0.290752	0.886250
26	0.300369	0.876500	0.295833	0.882500
27	0.288894	0.889500	0.293186	0.883750
28	0.292306	0.887500	0.287221	0.886250
29	0.290197	0.883500	0.292352	0.880000
30	0.282403	0.898500	0.285956	0.883750
31	0.276253	0.892000	0.283004	0.885000
32	0.280174	0.890000	0.278984	0.890000
33	0.270172	0.898500	0.277295	0.888750
34	0.271732	0.892500	0.278196	0.886250
35	0.263149	0.896500	0.273376	0.887500
36	0.267344	0.897500	0.280754	0.882500
37	0.266856	0.899500	0.283856	0.877500
38	0.266314	0.896000	0.278397	0.881250
39	0.259853	0.900000	0.270279	0.888750
40	0.253288	0.899500	0.267954	0.887500
41	0.253668	0.906000	0.264546	0.898750
42	0.256348	0.898000	0.265419	0.892500
43	0.251155	0.899000	0.274648	0.878750
44	0.245739	0.905000	0.268129	0.883750
45	0.246291	0.907500	0.262417	0.892500
46	0.245243	0.907500	0.264588	0.887500
47	0.237133	0.905000	0.258019	0.895000
48	0.237092	0.903000	0.258101	0.902500
49	0.235764	0.912500	0.259840	0.893750
