epoch	loss	acc	val_loss	val_acc
0	0.294677	0.877500	0.238369	0.902500
1	0.265206	0.879500	0.227519	0.906250
2	0.248146	0.896000	0.220017	0.912500
3	0.225940	0.908000	0.210140	0.911250
4	0.228041	0.904500	0.191213	0.922500
5	0.203348	0.925000	0.186294	0.927500
6	0.199518	0.923000	0.183824	0.926250
7	0.185941	0.923000	0.177355	0.932500
8	0.182514	0.922000	0.177547	0.933750
9	0.172900	0.930500	0.177408	0.930000
10	0.164757	0.935000	0.173762	0.932500
11	0.155360	0.944000	0.165872	0.936250
12	0.156058	0.942500	0.163692	0.932500
13	0.154867	0.941500	0.174742	0.936250
14	0.142622	0.942000	0.163289	0.935000
15	0.141062	0.947500	0.167195	0.940000
16	0.133650	0.953000	0.161407	0.937500
17	0.134907	0.946500	0.159966	0.940000
18	0.130200	0.951500	0.187213	0.928750
19	0.112365	0.954000	0.164085	0.940000
20	0.119893	0.955000	0.156512	0.941250
21	0.107426	0.961500	0.155508	0.940000
22	0.109754	0.958500	0.152707	0.941250
23	0.103867	0.965500	0.155153	0.936250
24	0.099505	0.967000	0.161635	0.935000
25	0.092689	0.966000	0.166542	0.936250
26	0.110190	0.959500	0.175921	0.937500
27	0.084925	0.970000	0.156183	0.936250
28	0.082042	0.972000	0.176837	0.935000
29	0.080346	0.965500	0.182383	0.932500
30	0.086153	0.968000	0.154794	0.940000
31	0.083621	0.966500	0.151260	0.941250
32	0.086136	0.970000	0.153432	0.940000
33	0.088121	0.968500	0.150816	0.938750
34	0.072245	0.973500	0.152513	0.938750
35	0.063921	0.979000	0.169975	0.936250
36	0.067222	0.973000	0.156432	0.937500
37	0.066624	0.978500	0.153047	0.935000
38	0.069234	0.974500	0.154214	0.936250
39	0.062998	0.978000	0.151933	0.940000
40	0.063677	0.975500	0.167061	0.940000
41	0.063365	0.978000	0.153474	0.938750
42	0.056655	0.977500	0.157597	0.936250
43	0.058032	0.977500	0.231987	0.911250
44	0.060764	0.977500	0.171522	0.937500
45	0.055950	0.981000	0.156489	0.938750
46	0.055616	0.977500	0.152520	0.940000
47	0.055615	0.982000	0.196319	0.926250
48	0.046743	0.986000	0.161322	0.938750
49	0.055020	0.979000	0.174853	0.936250
