epoch	loss	acc	val_loss	val_acc
0	0.712935	0.571500	0.539164	0.781250
1	0.539205	0.726500	0.426676	0.815000
2	0.444999	0.804000	0.350272	0.856250
3	0.391781	0.820500	0.302896	0.887500
4	0.341470	0.859500	0.268499	0.892500
5	0.299732	0.879000	0.244008	0.906250
6	0.294180	0.875000	0.230499	0.916250
7	0.268650	0.893000	0.215100	0.916250
8	0.245171	0.903500	0.210200	0.908750
9	0.237943	0.908000	0.209728	0.911250
10	0.240435	0.901500	0.194874	0.918750
11	0.203524	0.921500	0.192109	0.916250
12	0.216884	0.906000	0.192005	0.918750
13	0.197537	0.921500	0.182231	0.918750
14	0.203265	0.914500	0.179555	0.926250
15	0.185693	0.927500	0.176797	0.917500
16	0.189611	0.924000	0.174790	0.917500
17	0.178630	0.928500	0.174180	0.918750
18	0.169593	0.938500	0.173398	0.921250
19	0.164923	0.932500	0.171263	0.921250
20	0.164768	0.938500	0.166606	0.922500
21	0.153482	0.940500	0.173479	0.921250
22	0.154348	0.942000	0.168090	0.918750
23	0.139019	0.945500	0.171258	0.922500
24	0.148883	0.939000	0.173463	0.926250
25	0.146817	0.941000	0.183505	0.922500
26	0.133260	0.949000	0.160184	0.925000
27	0.130631	0.953500	0.158773	0.927500
28	0.125872	0.952500	0.222792	0.903750
29	0.121663	0.953500	0.179809	0.926250
30	0.112899	0.960500	0.162192	0.928750
31	0.110316	0.958000	0.173332	0.925000
32	0.111978	0.962500	0.172977	0.925000
33	0.114101	0.958500	0.158771	0.932500
34	0.102815	0.962500	0.160088	0.925000
35	0.095338	0.961500	0.161344	0.928750
36	0.086028	0.969500	0.178086	0.925000
37	0.094148	0.963000	0.157674	0.930000
38	0.087218	0.971500	0.165650	0.928750
39	0.092035	0.969000	0.163966	0.932500
40	0.092412	0.966500	0.169103	0.927500
41	0.079600	0.972000	0.174698	0.926250
42	0.078359	0.972500	0.174336	0.928750
43	0.081377	0.969000	0.165487	0.931250
44	0.084219	0.969500	0.178871	0.927500
45	0.082158	0.969500	0.171675	0.926250
46	0.068949	0.975500	0.169328	0.927500
47	0.080462	0.969500	0.162905	0.931250
48	0.072820	0.972000	0.157407	0.931250
49	0.074231	0.973500	0.158141	0.935000
