epoch	loss	acc	val_loss	val_acc
0	0.670994	0.605500	0.519778	0.791250
1	0.520916	0.744000	0.415801	0.837500
2	0.434546	0.795500	0.355059	0.857500
3	0.389818	0.827000	0.306445	0.876250
4	0.350205	0.850000	0.275276	0.882500
5	0.322351	0.855000	0.265325	0.887500
6	0.294762	0.877000	0.233264	0.892500
7	0.279278	0.887000	0.222265	0.902500
8	0.260583	0.894000	0.210374	0.917500
9	0.239707	0.902500	0.205492	0.912500
10	0.239554	0.906000	0.199722	0.917500
11	0.222178	0.914000	0.196534	0.913750
12	0.222283	0.911500	0.189616	0.918750
13	0.206036	0.916500	0.189995	0.916250
14	0.195929	0.925500	0.196277	0.917500
15	0.209304	0.921500	0.187428	0.916250
16	0.199186	0.922000	0.193612	0.921250
17	0.175671	0.929000	0.186692	0.916250
18	0.169455	0.933500	0.176542	0.918750
19	0.167211	0.931500	0.174334	0.925000
20	0.176878	0.933500	0.172029	0.923750
21	0.162799	0.939500	0.168745	0.923750
22	0.165985	0.930000	0.168985	0.922500
23	0.151348	0.941500	0.177891	0.922500
24	0.148517	0.942500	0.171744	0.922500
25	0.147853	0.938500	0.168798	0.925000
26	0.150020	0.945500	0.162580	0.930000
27	0.139739	0.945500	0.161195	0.926250
28	0.136175	0.948000	0.178093	0.925000
29	0.133742	0.947500	0.160513	0.926250
30	0.127265	0.952000	0.158449	0.927500
31	0.121263	0.951000	0.157751	0.926250
32	0.123121	0.952000	0.161521	0.933750
33	0.114689	0.958500	0.158607	0.928750
34	0.114765	0.954000	0.196337	0.918750
35	0.103119	0.964000	0.188040	0.921250
36	0.105841	0.956000	0.163549	0.935000
37	0.112497	0.960500	0.164734	0.931250
38	0.110393	0.959000	0.162808	0.933750
39	0.094700	0.964000	0.175206	0.928750
40	0.103653	0.961500	0.203407	0.916250
41	0.089127	0.963000	0.159601	0.933750
42	0.092955	0.967000	0.159809	0.928750
43	0.085341	0.970000	0.157213	0.935000
44	0.080539	0.972000	0.160379	0.927500
45	0.080625	0.968500	0.166077	0.927500
46	0.081746	0.971500	0.196443	0.923750
47	0.075188	0.969000	0.190832	0.926250
48	0.073462	0.974000	0.161007	0.930000
49	0.067206	0.976000	0.162638	0.927500
