epoch	loss	acc	val_loss	val_acc
0	0.693297	0.503500	0.693001	0.515000
1	0.690825	0.522500	0.683503	0.587500
2	0.690762	0.524000	0.684463	0.553750
3	0.676325	0.574500	0.658513	0.603750
4	0.652708	0.586500	0.655910	0.567500
5	0.667076	0.578500	0.632450	0.603750
6	0.625987	0.624500	0.614115	0.627500
7	0.626459	0.636000	0.593890	0.650000
8	0.604112	0.658500	0.608359	0.641250
9	0.619236	0.658500	0.631609	0.618750
10	0.595161	0.671000	0.567256	0.695000
11	0.561544	0.706000	0.590032	0.683750
12	0.574931	0.690500	0.593784	0.665000
13	0.554451	0.708500	0.558586	0.692500
14	0.538757	0.724000	0.551808	0.706250
15	0.533114	0.734000	0.605462	0.696250
16	0.534468	0.728000	0.584196	0.700000
17	0.543294	0.724000	0.543880	0.706250
18	0.533494	0.728000	0.571316	0.697500
19	0.525021	0.733500	0.550878	0.725000
20	0.509391	0.750500	0.566344	0.701250
21	0.508934	0.741500	0.583905	0.677500
22	0.524193	0.730500	0.548672	0.710000
23	0.501332	0.752500	0.531464	0.712500
24	0.491827	0.744500	0.562599	0.726250
25	0.504647	0.752500	0.537502	0.722500
26	0.499263	0.743500	0.539286	0.721250
27	0.492322	0.749000	0.535389	0.723750
28	0.489503	0.748000	0.536716	0.726250
29	0.479757	0.761000	0.534132	0.742500
30	0.467988	0.758000	0.537064	0.741250
31	0.472961	0.770000	0.533663	0.722500
32	0.466375	0.768000	0.527698	0.735000
33	0.464310	0.780000	0.554954	0.725000
34	0.467177	0.773000	0.524523	0.743750
35	0.475925	0.781000	0.520298	0.740000
36	0.453454	0.775500	0.532234	0.722500
37	0.457964	0.780500	0.558371	0.732500
38	0.459694	0.770500	0.543147	0.746250
39	0.455982	0.786500	0.533625	0.731250
40	0.445910	0.784500	0.655334	0.720000
41	0.438961	0.791500	0.528079	0.757500
42	0.432194	0.795500	0.545248	0.718750
43	0.457024	0.786000	0.540511	0.756250
44	0.429335	0.794000	0.521441	0.745000
45	0.423058	0.793500	0.528134	0.758750
46	0.441575	0.788500	0.524709	0.750000
47	0.422464	0.795500	0.509125	0.758750
48	0.413552	0.806500	0.526257	0.755000
49	0.426409	0.795000	0.525393	0.771250
